Sports & Leisure: What New York Yankees captain died when he crashed his plane short of the runway?|Thurman Munson
Science & Nature: What condom brand shares its name with an ancient Egyptian?|Ramses
Science & Nature: What's the name of the cooking variety banana, which is starchy instead of sweet?|Plantain
People & Places: What rock column in Wyoming's Black Hills became the first U.S. National Monument in 1906?|Devil's Tower
Science & Nature: What act by aliens is categorized as a close encounter of the fourth kind?|Abduction
Science & Nature: What lawyer defended John Scopes, teacher of Charles Darwin's theory of evolution, in 1925?|Clarence Darrow
History: What U.S. Chief Justice chaired the commission to investigate John F. Kennedy's assassination?|Earl Warren
Science & Nature: What diagnostic procedure produced a view of a brain?|A CAT scan
People & Places: What former Middle Eastern tourist mecca has been reduced to rubble by civil war and terrorism?|Beirut
Science & Nature: What ship made the first navigational use of the new S.O.S. signal, on April 14, 1912?|The "Titanic"
World: What's the only type of vehicle an intoxicated person can legally operate on a Utah public highway?|A wheelbarrow
Science & Nature: What might a pulsar near Virgo have that only one other star in the universe is known to have?|Planets
World: What comedian communicated by honking a Bombay taxi horn?|Harpo Marx
Sports & Leisure: Who insisted the toilets be raised an inch before he'd begin a chess match with Boris Spassky?|Bobby Fischer
Science & Nature: How many Earths could fit side by side on Jupiter's Great Red Spot?|Three
Sports & Leisure: Whose 48 touchdown passes in 1984 were the most in one season in NFL history?|Dan Marino's
Science & Nature: How many minutes does the Channel Tunnel train take to cover its 23.6-mile route?|35
People & Places: What was the target of the worst terrorist attack on U.S. soil, in 1993?|The World Trade Center
History: What was Billy the Kid's original name first name?|Henry
Science & Nature: How many identical armadillos will regularly pop out of a single egg?|Four
Sports & Leisure: What boat gave its name to the 100 Guineas Cup after winning it in 1851?|The "America"
People & Places: What city hosted the 1967 World's Fair that featured a geodesic dome?|Montreal
Science & Nature: What's not needed in the cultivation of a hydroponic plant?|Soil
Science & Nature: What was the name of the first reusable space shuttle?|Columbia
History: Whose last words while facing a firing squad on April 28, 1945, were: "No ... No!"?|Benito Mussolini's
World: What corporate mascot kept on going and going and going and going?|The Energizer Bunny
Sports & Leisure: What did Muhammad Ali dub the tactic he used to knock out the heavyweight champ in Zaire?|Rope-a-dope
World: What 1971 fashion craze inspired a new look for entertainers?|Hot pants
Sports & Leisure: Who did the PGA name Golfer of the Century in 1988?|Jack Nicklaus
History: What 20th-century era had jobless folks singing "Brother, can you spare a dime?"?|The Great Depression
Arts & Entertainment: What "Grease" gang rebuilt and drove a white sportster?|The T-birds
Sports & Leisure: Who did Bobby Riggs challenge when he declared: "Women play about 25 percent as good as men"?|Billie Jean King
Science & Nature: How many of every 10 unnamed species are thought to inhabit the tropical rain forests?|Five
Sports & Leisure: What shoe outfit saw red when half of its hyped "Dan vs. Dave" decathlon duo missed an Olympic cut?|Reebok
World: What four-word phrase would Herve Villechaize no longer have to endure after he died at age 50?|The plane! The plane!
People & Places: What's the only independent state in the world whose permanent residents are all male?|Vatican City
Arts & Entertainment: What's the most famous screen line attributed to Humphrey Bogart that he never uttered?|Play it again, Sam"
Sports & Leisure: What 51-year-old granddad played in the All-Star Game during his 26th NHL season?|Gordie Howe
World: What name does Rob Reiner hate being called when recognized on the street?|Meathead
Arts & Entertainment: What character from "M*A*S*H" was a cross-dresser?|Maxwell Klinger
World: What late '50s group, best known for "The Great Pretender," has sued almost 50 others for using their name?|The Platters
Sports & Leisure: What sportscaster wrote that he was "painfully aware" of the "inane blathering of ex-jocks"?|Howard Cosell
People & Places: What name is commonly used to denote the countries Norway, Sweden, and Finland?|Scandinavia
World: Who did an MCI poll determine to be the most admired mom in history?|The Virgin Mary
Arts & Entertainment: What did an actress' character have auctioned off in the movie "Pretty Baby"?|Her virginity
Sports & Leisure: What one word did coach Paul William Bryant use to title his autobiography?|Bear
Sports & Leisure: What are Arnold Palmer's adoring fans collectively known as?|Arnie's army
History: What ancient Greek philosopher bit the dust after downing a drink infused with hemlock?|Socrates
Science & Nature: What did officials in Volusia County, Florida, give away 50,000 of during spring break in 1994?|Condoms
People & Places: Whose death certificate were hordes of fans buying copies of from Post Mortem Arts in Seattle for $25?|Kurt Cobain's
World: What TV talk show host got his nose broken when skinheads hit him with a chair during a show?|Geraldo Rivera
People & Places: Who banned smoking in the White House?|Hillary Clinton
Science & Nature: What trade halved the elephant population between 1981 and 1989?|The ivory trade
History: What Soviet rose to power after V.I. Lenin's death in 1924?|Joseph Stalin
Science & Nature: What word does the U.S. Weather Bureau define as a "horizontal motion of the air past a given point"?|Wind
History: What feisty feminist claimed at a 1992 rally that she was "the mother of you all"?|Betty Friedan
People & Places: What Spaniard designed the five-story horse in Chicago's Daley Plaza?|Pablo Picasso
Science & Nature: What's the fastest-selling drug of the 1990s to take you from anxiety to confidence?|Prozac
Science & Nature: What did F. Sherwood Rowland and Mario Molinas warn chloro- fluorocarbons were destroying, in 1974?|The ozone layer
World: What TV host ordered french fries at a Maine eatery just so she could stare longingly at them?|Oprah Winfrey
Science & Nature: What monstrous name did critics give to the first genetically engineered, FDA-approved tomato?|Frankentomato
Sports & Leisure: What chess piece combines the powers of the Rook and the Bishop?|The queen
Sports & Leisure: Who smashed Daley Thompson's eight-year-old decathlon world record at a 1992 meet in France?|Dan O'Brien
World: What seven-foot-one graduate of the U.S. Naval Academy was deemed too tall for shipboard work?|David Robinson
Arts & Entertainment: What film featured far-flung folk drawn to Devil's Tower in Wyoming?|Close Encounters of the Third Kind
Sports & Leisure: What NBA star's surname translates to English as "always being on top"?|Hakeem Olajuwon's
Arts & Entertainment: What one-season wonder on the "Saturday Night Live" show played the Land Shark?|Chevy Chase
World: Who won a coin toss with guitarist Tommy Allsup to secure a seat on Buddy Holly's final flight?|Ritchie Valens
Sports & Leisure: What's the last railroad players encounter before passing Go?|Short Line
Sports & Leisure: What 1994 sports gala opened with 70 percent of Americans not knowing the U.S. was hosting it?|The World Cup of soccer
Arts & Entertainment: Who is David Cassidy's half-brother?|Shaun Cassidy
People & Places: How many people did Bernhard Goetz shoot in a New York subway in 1985?|Four
Sports & Leisure: Who landed the blow that left Mike Tyson groping for his mouthpiece on February 10, 1990?|Buster Douglas
History: What 15th-century prince is thought to have been the inspiration for the classic "Dracula"?|Vlad the Impaler
Science & Nature: Who first found that landing an airplane was almost as tough as getting off the ground?|Orville Wright
Science & Nature: What type of vehicle, eventually a best-seller, did Lee Iacocca's company launch in 1984?|The minivan
People & Places: What racist outfit visited Long Island's posh Hamptons in search of new members in 1992?|The Ku Klux Klan
World: What fish appeared in the first of a marathon run of TV commercials in 1961?|Charlie the Tuna
History: Which military man was nicknamed "The Little Corporal"?|Napoleon
People & Places: Who opined: "Everybody has a right to pronounce foreign names as he chooses"?|Winston Churchill
Arts & Entertainment: What rating did the film "Flashdance" earn, due in part to it's dances?|R
People & Places: How did Rasputin die, after being poisoned, shot, beaten, bound and thrown in the Neva River?|He drowned
World: What type of jacket did the "Top Gun" actress help to make a major fashion statement?|The bomber jacket
Arts & Entertainment: Who discovered nothing but an empty bottle when he opened Al Capone's safe in a highly-rated TV special?|Geraldo Rivera
Arts & Entertainment: What city did Eddie Murphy serve to protect before events took him to Beverly Hills?|Detroit
Arts & Entertainment: What TV bigot did the Jeffersons live next to on Houser Street?|Archie Bunker
Arts & Entertainment: Who was the insect-eating assistant of Bram Stoker's classic wall-crawling blood-drinker?|Renfield
Science & Nature: What Elisha Otis invention is credited with making skyscrapers feasible?|The elevator
World: What hairstyle did Angela Davis help popularize?|The Afro
Sports & Leisure: What did the press Wilt Chamberlain, although he preferred to be called "The Big Dipper"?|Wilt the Stilt
World: What state has a law that bans the serving or eating of apple pie without a slice of cheese on top?|Wisconsin
Sports & Leisure: What member of the 1919 Black Sox was banned from baseball despite a World Series-best .375 average?|Shoeless Joe Jackson
Arts & Entertainment: Who played the mystery woman trying to kill Blues Brother John Belushi?|Carrie Fisher
People & Places: What section of Los Angeles did these National Guardsmen patrol during this 1965 riot?|Watts
World: What David Lynch movie might some film buffs have attended expecting to see Bobby Vinton's life story?|Blue Velvet
Arts & Entertainment: What songbird uttered the F-word 13 times as David Letterman's TV guest?|Madonna
World: Who left Genesis in 1975?|Peter Gabriel
History: What commodity did Jay Gould and James Fisk corner here in 1869, sparking "Black Friday"?|Gold
History: What Native American currency was the first market commodity to be "cornered," in 1666?|Wampum
Science & Nature: What feathered creature is sometimes called the "man-o'-war bird"?|The frigate bird
History: What ship had lifeboat space for half of its passengers when it rammed an iceberg in 1912?|The "Titanic"
History: What the name of the go-for-broke football play?|The Hail Mary
Arts & Entertainment: What Pink Floyd album logged more than 20 years on the charts?|Dark Side of the Moon
Sports & Leisure: Who took two rounds to put Joe Frazier on dream street in winning the heavyweight title in 1973?|George Foreman
Sports & Leisure: Which champion racketeer was taught tennis by a doting mother?|Jimmy Connors
History: Whose 1923 death prompted Henry Cabot Lodge to gush: "My God! That means Coolidge is president"?|Warren G. Harding's
Science & Nature: What did Nikita Khrushchev call the rocket NASA tried to launch two months after "Sputnik" made history?|Kaputnik
Sports & Leisure: What woeful team chose a player named Steve Chilcott in the 1966 free agent draft?|The New York Mets
World: What's the derivation of the term "woopie," which could be used to denote older affluent folks?|Well-off older person
People & Places: Who did Tenzing Norkay of Nepal help scale Mt. Everest on May 28, 1953?|Edmund Hillary
People & Places: What U.S. state has the highest percentage of people who hoof it to work?|Alaska
People & Places: What U.S. state boasts license plates emblazoned with a rodeo rider?|Wyoming
World: What Beatles album had just come out when John Lennon dressed up a Rolls-Royce?|Sgt. Pepper's Lonely Hearts Club Band
Science & Nature: What does a television set have if it comes with "PIP"?|Picture-in-picture
Arts & Entertainment: What color sail was the signal to the ailing Tristan that his love was coming to him?|White
History: What war first gave Americans Uncle Sam on a poster, saying "I Want You"?|World War I
Science & Nature: How many natural satellites does Earth have?|One
Science & Nature: What member of Bill Clinton's administration first championed the information highway?|Al Gore
Science & Nature: What's the most abundant element on earth?|Oxygen
Science & Nature: What's the astronomical phenomenon where the moon partially covers the sun called?|An eclipse
History: Whose crew is blamed for introducing smallpox to America and syphilis to Europe?|Christopher Columbus'
Science & Nature: What oceanic climatic condition is named after the Spanish term for "the Christ Child"?|El Nino
World: Who manned a mop as a janitor at a Miami radio station before mopping up as a TV talk show host?|Larry King
Arts & Entertainment: Which songstress prompted David Letterman to quip: "I think she's trying to shock us"?|Madonna
Science & Nature: What letter does the first four notes of Beethoven's Fifth Symphony denote in Morse code, making it a onetime favorite of the Allies?|V
People & Places: How many days of his three-year prison sentence did Iran-Contra felon Oliver North serve?|Zero
Science & Nature: What product did you need if you marveled: "I can't believe I ate the whole thing"?|Alka-Seltzer
Sports & Leisure: What Olympic skater worked off her community service sentence serving meals to Oregon's elderly?|Tonya Harding
People & Places: What country did the U.S. and Britain blame for the 1988 plane bombing over Scotland?|Libya
World: Which lovely got the call for Revlon's first effort into TV infomercial shopping?|Dolly Parton
World: What child star was the first person signed by MGM without having to take a screen or sound test?|Judy Garland
Sports & Leisure: What Muhammad Ali tactical advice was inspired by insects?|Float like a butterfly, sting like a bee
World: What was received on the second day of Christmas, according to the song?|Two turtledoves
Arts & Entertainment: What Indiana Jones movie saw an actress make her mark on future hubby Steven Spielberg?|Indiana Jones and the Temple of Doom
Arts & Entertainment: Who portrayed legendary boxer Jack Johnson in the movie "The Great White Hope"?|James Earl Jones
Science & Nature: Who did the Roman Catholic Church admit was right 350 years ago to suggest Earth revolved around the sun?|Galileo
Science & Nature: What's the term for chemicals that kill weeds and unwanted plants?|Herbicides
Science & Nature: Where do 12 percent of American teenagers lose their virginity?|In a car
History: Which president almost died during birth, when his mother was given an overdose of chloroform?|Franklin D. Roosevelt
History: Who warned in 1917: "This is only a preliminary step toward a similar revolution everywhere"?|V.I. Lenin
World: What English-language song is the most frequently sung?|Happy Birthday to You
People & Places: What skyscraper shares New York state's nickname?|The Empire State Building
Sports & Leisure: What city saw its streets become household names after the Monopoly game hit the jackpot?|Atlantic City
Science & Nature: What twosome made history at Kill Devil Hill, North Carolina, on December 17, 1903?|Orville and Wilbur Wright
Arts & Entertainment: What movie had Dan Ackroyd losing his job, home, fiancee, limo and butler?|Trading Places
Sports & Leisure: What U.S. president asked for rules changes after 18 players died during the 1905 football season?|Theodore Roosevelt
People & Places: What president was so unpopular that he almost didn't get his name on a dam?|Herbert Hoover
World: What Disney animated feature required the drawing of 6,469,952 black spots?|101 Dalmatians
Arts & Entertainment: What comedian's signature line was: "This is another fine mess you've gotten us into"?|Oliver Hardy's
World: What film puts an animated rodent to work, hauling buckets of water in his masters abode?|Fantasia
History: Who was the first living American to have his name appear on a postage stamp?|Charles Lindbergh
Sports & Leisure: Whose 565-foot home run over the wall at Griffith Stadium gave birth to the term "tape measure shot"?|Mickey Mantle's
History: What general's father was in charge of investigating the case of Charles Lindberg's kidnapped child?|Norman Schwarzkopf's
World: What cult leader was rejected at an audition for The Monkees for just not being cute enough?|Charles Manson
Sports & Leisure: What did Chicago Cubs owner Phil Wrigley say, in 1935, was  "just a fad, a passing fancy"?|Night baseball
Arts & Entertainment: What Brady Buncher carped about being "everybody's answer to a 'Trivial Pursuit' question"?|Eve Plumb
Science & Nature: How many of every 10 boys born in the U.S. are circumcised?|Seven
Arts & Entertainment: What bird inspired Edgar Allen Poe to write a poem?|The raven
History: Who surrendered on April 9, 1865, without Jefferson Davis' approval?|Robert E. Lee
World: What top-selling Christmas single of 1985 was not the least bit amusing to many senior citizens?|Grandma Got Run Over by a Reindeer
People & Places: How many cars does the average Kuwaiti driver have registered?|Three
World: What do some stock market wizards call a "007"?|A bond
World: 1 Jan of what year will mark the first day of the 21st century?|2001
People & Places: What general's estate did a vengeful Congress confiscate as the site for a cemetery?|Robert E. Lee's
History: What woman did Hitler hire to glamorize scenes in films such as "Triumph of the Will"?|Leni Riefenstahl
Science & Nature: What's defined as "species not definitely located in the wild during the past 50 years"?|Endangered species
People & Places: Who might never have found the Pacific Ocean without the help of a Native American?|Meriwether Lewis and William Clark
People & Places: What autonomous region would the Dalai Lama like to call home?|Tibet
People & Places: What late female painter's art, drawn from desert scenes fueled calendar sales?|Georgia O'Keeffe's
People & Places: What did Supreme Court nominee Douglas Ginsberg describe as a "mistake" he made as a Harvard prof?|Smoking marijuana
History: What assassin's low self-esteem is often attributed to his undiagnosed dyslexia?|Lee Harvey Oswald's
History: How many aircraft carriers were in Pearl Harbor when the Japanese attack occurred?|Zero
Science & Nature: What fixture in the White House was called a "Quincy," after the president at the time of its installation?|The toilet
Sports & Leisure: What kind of sportsman is endangered by "nitrogen narcosis" at a depth of more than 130 feet?|A scuba diver
Arts & Entertainment: Who was the youngest person to win an acting Oscar?|Tatum O'Neal at age 10
Arts & Entertainment: What did the Scarecrow want from the Wizard of Oz?|A brain
Arts & Entertainment: What is Keanu Reeves character's Real name in "The Matrix" (1999)?|Thomas Anderson
Arts & Entertainment: What is Keanu Reeve's hacker name in the movie, "The Matrix" (1999)?|Neo
Arts & Entertainment: Who is the voice of Darth Vader in "Star Wars"?|James Earl Jones
Arts & Entertainment: What is the name of Han Solo's ship in "Star Wars"?|The Millennium Falcon
Arts & Entertainment: What kind of car was used as a time machine in the "Back To The Future" movies?|A DeLoren
Arts & Entertainment: What is the name of the sequel to "101 Dalmations"?|102 Dalmations
Arts & Entertainment: What was Indiana Jones's real first name?|Henry
Arts & Entertainment: What actor starred in both "Funny Girl" and "Lawrence Of Arabia"?|Omar Sharif
Arts & Entertainment: What Academy Award winning actor is Angelina Jolie's father?|Jon Voight
Arts & Entertainment: Who is famous for saying 'I'll be back'?|Arnold Schwarzenegger
Arts & Entertainment: Who is famous for saying 'Make my day'?|Clint Eastwood
Arts & Entertainment: Who played the voice of the baby in "Look Who's Talking" (1989)?|Bruce Willis
Arts & Entertainment: What name is Lazlo Loewenstein  better know as?|Peter Lorre
Arts & Entertainment: Lucille LeSueur was the real name of what legendary Hollywood actress?|Joan Crawford
Arts & Entertainment: Caryn Johnson is the birth name of what famous comic and actress?|Whoopi Goldberg
Arts & Entertainment: In what movie did we first hear 'May the force be with you'?|Star Wars
Arts & Entertainment: In what movie did Tom Cruise play a vampire?|Interview With The Vampire
Arts & Entertainment: Who played Dr. Frankenstein in "Young Frankenstein"?|Gene Wilder
Arts & Entertainment: Who played the monster in "Young Frankenstein"?|Peter Boyle
Geography: What is the highest mountain in the world?|Mt. Everest in Nepal and Tibet at 29,028 feet
United States: In what year did Alaska become a state?|1959 as the 49th state
Geography: What is the largest 'lake' in the world?|The Caspian Sea
Geography: What is the largest lake in North America?|Lake Superior
United States: What year did women win the right to vote in national elections in the U.S.?|August 18, 1920
Science & Nature: How many tentacles does an octopus have?|8
Science & Nature: How many legs does a spider have?|8
Science & Nature: About how fast can a dragonfly fly; 10, 20, 30 or 40 miles per hour?|30 miles per hour
United States: In what city did Rosa Parks first take a stand against "Jim Crow" laws by refusing to stand?|Montgomery, Alabama, December 1, 1955
Geography: Where is the Weddell Sea?|Antartica
Geography: What is the longest river in the world?|The Nile at 4,160 miles
Geography: What is the largest lake in Africa?|Lake Victoria at 28,820 square miles
Geography: What do Istanbul, Constantinople, and Byzantium have in common?|They are all historical names for the same place
Sports & Leisure: Who fought in the boxing match called 'The Thrilla in Manila'?|Muhammad Ali and Joe Frazier (Ali won)
History: In what year was the Magna Carta signed?|1215
History: What 2 countries fought the Hundred Years War?|France and England from 1334 to 1453
Arts & Entertainment: How are the Bee Gees related?|They are brothers
Sports & Leisure: Where was the game of golf invented?|Scotland
History: Who was the first 'elected' President of Russia?|Boris Yeltsin
Geography: What is the highest waterfall in the world?|Angel Falls in Venezuela at 3,212 feet
Geography: What is the world's largest desert?|The Sahara at 3,500,000 square miles
United States: What U.S. city is also called 'The Windy City'?|Chicago
Science & Nature: How far can a skunk spray; 5, 10 or 15 feet?|up to 10 feet
Geography: What is the highest mountain in Africa?|Mt. Kilimanjaro at 19,340 feet
Science & Nature: Who invented the computer mouse?|Douglas C. Engelbart in 1968 but it wasn't popularized until Apple used it in 1984
Science & Nature: How many bones are there in the adult human body?|206
Geography: What is the narrow sea between the Arabian Peninsula and Africa called?|The Red Sea
Mythology: What is the name of the Greek wine god?|Dionysus (also called Bacchus)
Literature: What is the name of the bad guy in Peter Pan?|Captain Hook
Geography: What is the southern most capital city in the world?|Wellington, capital of New Zealand
United States: Who is the only U.S. President who was never married?|James Buchanan
Literature: What is the river named most often in the Bible?|Jordan
Language: What is the Scottish word for lake?|Loch
Arts & Entertainmen: Who was the singer who made the video THRILLER?|Michael Jackson
Arts & Entertainment: Which actor entered a Charlie Chaplin look alike contest and came in third?|Charlie Chaplin
Geography: Which animal are the Canary Islands named after?|Dog (Canine, the birds were named for the islands)
Science & Nature: Which planet is closest to the sun?|Mercury
Science & Nature: How many moons does Mars have?|2 moons, Phobos and Deimos
Geography: What is the lowest point on land in the world?|The Dead Sea in Israel and Jordan at 1,312 feet below sea level
History: When did World War II begin?|September 1, 1939 when German troops crossed into Poland
History: When did the U.S. enter World War II?|December 1941
Literature: Where were the words "The truth shall make you free" first written?|The Bible, John 8:32
History: What year did the Russian revolution take place?|1917 (the Russian civil war lasted from 1918-1921)
History: What year did the Titanic sink?|1912
History: Who was the first person in space?|Yuri Gagarin in 1961
History: Who was the first person to set foot on the moon?|Neil Armstrong in 1969
Science & Nature: What year was a sheep named Dolly created by cloning?|1997
History: What year saw the break up of the USSR?|1991
Sports & Leisure: Where were the 2000 Olympics held?|Sydney, Australia
History: What year was the Commonwealth of Australia established?|1901
Literature: What did Sir Galahad search for?|The Holy Grail
Geography: What is the Spanish name for the South American capital which means 'good air'?|Buenos Aires
Geography: What is the capital of Ecuador?|Quito
Geography: What is the capital of Somalia?|Mogadishu
Language: What is the meaning of the French word estragon?|Tarragon (the spice)
Geography: What is the capital of Hungary?|Budapest
Arts & Entertainment: What name is Annie Mae Bullock better know as?|Tina Turner
Arts & Entertainment: What name is Paul Hewson better know as?|Bono, from the group called U2
Geography: What middle eastern state was founded in 1948?|Israel
Language: What does the Russian word buran mean?|Blizzard
Arts & Entertainment: How many members in the guy group N'SYNC?|5
Arts & Entertainment: Name one of the 3 members of N'SYNC whose names start with the letter "J".|Joey, JC or Justin
Arts & Entertainnment: Name one of the 2 members of N'SYNC whose names do NOT start with the letter "J".|Chris and Lance
Arts & Entertainment: What year was the movie Ben Hur with Charlton Heston made?|1959
Arts & Entertainment: Who played Captain Queeg in "The Caine Mutiny"?|Humphrey Bogart
Arts & Entertainment: Who played Maggie in "Cat On A Hot Tin Roof" with Paul Newman?|Elizabeth Taylor
Language: What is a Wyvern?|A type of dragon
United States: When were PopTarts invented?|1964
Geography: What African country is only 8 miles from Spain?|Morocco
Language: What African language do Boers speak?|Afrikaans
History: Which people created the sundial?|The Egyptians in 2400 B.C.
Mythology: Who did Paris, the ruler of Troy, select as the most beautiful goddess?|Aphrodite
Science & Nature: What are Pyxis, Puppis, and Pavo?|Constellations in the southern sky
United States: How many deserts are in or extend into the United States?|5
Geography: Name the 500,000 square mile desert that Mongolia and China share.|Gobi
Computers: What is the type of computer virus that is named after a device of trickery used in a famous mythological war?|Trojan Horse
Computers: When was the World Wide Web developed?|1990
Computers: What is the name of the group that developed the World Wide Web?|European Center for Nuclear Research
Computers: In what Swiss city was the World Wide Web first developed?|Geneva, Switzerland
Art & Literature: What was Odysseus' dog's name?|Argo
History: Name the largest airplane ever built?|Spruce Goose
Science & Nature: What rock floats in water?|Pumice
Art & Literature: Name 1 of the 4 Horsemen of the Apocalypse.|War, Pestilence, Famine and Death
Entertainment: Vulcan blood is based on what metal?|Copper
Art & Literature: What famous British novel begins with the line: "It was a cold day in April, and the clocks were striking thirteen"?|1984
Art & Literature: According to Douglas Adams' Hitchhiker's Guide To The Galaxy, who designed Norway?|Slartibartfast
History: What Kenyan secret terrorist organization revolted against British colonists in 1952?|Mau Mau
Sciece & Nature: What is the most abundant metal in the Earth's crust?|Aluminum
Art & Literature: In Norse mythology, what was the Twilight of the Gods called?|Ragnarok
Entertainment: Name Quickdraw McGraw's sidekick.|Baba Looey
History: What was the name of the battle in which Hannibal was defeated?|Zama
Art & Literature: James Bond creator Ian Fleming wrote what famous children's story, later made into a movie?|Chitty Chitty Bang Bang
History: One of the 7 Wonders of the ancient world was a giant bronze statue, what was it called?|Colossus of Rhodes
Art & Literature: In Norse mythology, the icy underworld was called?|Niflheim
Entertainment: What song did the fictitious Dr. Chandra teach his famous computer HAL 9000 to sing?|Bicycle Built For Two
Science & Nature: What is the name given to the change in pitch accompanied by an approaching or receeding sound source?|Doppler Effect
Art & Literature: Name 1 of Dumas' 3 musketeers.|Porthos, Athos and Aramis
Good To Know: What is the only man-made feature visible from space?|Great Wall of China
Art & Literature: The classical medical symbol of two serpents wrapped around a staff is called a what?|Caduceus
Art & Literature: Which Roman god had two faces?|Janus
Entertainment: What was Dr. Who's phone booth called?|Tardis
Entertainment: What words is the acronym HAL in the famous computer's name derived from?|Heuristically programmed ALgorithmic computer
Art & Literature: Name Captain Nemo's submarine?|Nautilus
History: In what ancient city did Alexander the Great die?|Babylon
Science & Nature: What is the underside of a horse's hoove called?|Frog
Art & Literature: In JRR Tolkien's Lord of the Rings, 3 wizards are mentioned by name: Gandalf, Saruman, and who?|Radagast
History: Which god was a favourite of the Roman legions, who sacrificed a bull to him in secret rituals?|Mithras
Entertainment: Who dances the waltz in Mr. Kite's show?|Henry the Horse
History: The ancient Egyptians used what substance as the earliest know contraceptive?|Crocodile dung
US Capitals: Alabama|Montgomery
US Capitals: Alaska|Juneau
US Capitals: Arizona|Phoenix
US Capitals: Arkansas|Little Rock
US Capitals: Califorina|Sacramento
US Capitals: Colorado|Denver
US Capitals: Connecticut|Hartford
US Capitals: Delaware|Dover
US Capitals: Florida|Tallahassee
US Capitals: Georgia|Atlanta
US Capitals: Hawaii|Honolulu
US Capitals: Idaho|Boise
US Capitals: Indiana|Indianapolis
US Capitals: Illinois|Springfield
US Capitals: Iowa|Des Moines
US Capitals: Kansas|Topeka
US Capitals: Kentucky|Frankfort
US Capitals: Louisiana|Baton Rouge
US Capitals: Maine|Augusta
US Capitals: Maryland|Annapolis
US Capitals: Massachusetts|Boston
US Capitals: Michigan|Lansing
US Capitals: Minnesota|St. Paul
US Capitals: Mississippi|Jackson
US Capitals: Missouri|Jefferson City
US Capitals: Montana|Helena
US Capitals: Nebraska|Lincoln
US Capitals: Nevada|Carson City
US Capitals: New Hampshire|Concord
US Capitals: New Jersey|Trenton
US Capitals: New Mexico|Santa Fe
US Capitals: New York|Albany
US Capitals: North Carolina|Raleigh
US Capitals: North Dakota|Bismarck
US Capitals: Ohio|Columbus
US Capitals: Oklahoma|Oklahoma City
US Capitals: Oregon|Salem
US Capitals: Pennsylvania|Harrisburg
US Capitals: Rhode Island|Providence
US Capitals: South Carolina|Columbia
US Capitals: South Dakota|Pierre
US Capitals: Tennessee|Nashville
Us Capitals: Texas|Austin
US Capitals: Utah|Salt Lake City
US Capitals: Vermont|Montpelier
US Capitals: Virginia|Richmond
US Capitals: Washington|Olympia
US Capitals: West Virginia|Charleston
US Capitals: Wisconsin|Madison
US Capitals: Wyoming|Cheyenne
Geography: Which country is also a continent?|Australia
History: True or false:  French was never the official language of England.|False. French was the official language for over 600 years.
UnitedStates: Which is the only state that grows coffee?|Hawaii
Science & Nature: True or False:  10 percent of professional boxers have suffered brain damage.|False, over 80% have suffered brain damage
Geography: Which well-known Russian city has seen it's name changed 3 times since it was founded in 1703 by Peter the Great?|St. Petersburg, Russia
Arts & Entertainment: Of the 7 dwarfs in 'Snow White and The Seven Dwarfs', which one is the only beardless one?|Dopey
Language: True or false:  The word 'karate' means 'empty hand'.|True
Geography: Which country is the world's leading importer of iron ore?|Japan
History: What year was the Republic of Israel established, 1933, 1948, 1957 or 1966?|1948
Geography: How many cities in the world boast populations in excess of 1 million people; over 50, over 200, over 300 or over 400?|over 300
Mythology: Who was the Greek goddess of victory?|Nike
UnitedStates: What city is the oldest one in the United States?|St. Augustine, Florida
Science & Nature: What continent is the only one on Earth that has no reptiles or snakes?|Antarctica
Science & Nature: What breed of dog bites more humans than any other breed?|German Shepherds
Science & Nature: True or false:  Adolescent male crickets can chirp.|False
Science & Nature: The blood of mammals is red.  What color is a lobster's blood?|blue
Arts & Entertainment: What cartoon character says "DOH"?|Homer Simpson
Arts & Entertainment: True or false:  In the movie, 'The Wizard Of Oz', Dorothy's 3 companions were looking for a heart, a brain and a glass slipper.|False
Languages: What is the world's most widely spoken language?|the Mandarin dialect of Chinese
Geography: Which large, well-known Central American city is sinking at the rate of 6 to 8 inches per year?|Mexico City
Science & Nature: If offered a new pen to write with, what will 97% of people do with it?|write their own name
Science & Nature: The average person has a vocabulary of 1,000 to 2,000, 3,000 to 4,000, or 5,000 to 6,000 words?|5,000 to 6,000
Geography: Which one of Earth's oceans is mostly covered by solid ice, ice floes and icebergs?|Arctic Ocean
Science & Nature: About how many feet of earth could an ambitious mole tunnel through in one day; 20 feet, 100 feet, 200 feet or 300 feet?|300 feet
Science & Nature: The blood of mammals is red.  What color is insect's blood?|yellow
Science & Nature: What does a speleologist study?|studies caves
UnitedStates: Which product is more money spent on per year, baby food or pet food?|pet food
Geography: Can you name the largest island in the world?|Greenland, at 840,000 square miles
Geography: True or false:  In Paraguay dueling is still legal as long as both parties are registered blood donors.|True
Geography: What city in the world was the first one to reach the population of 1 million people?|Rome, Italy in 133 B.C.
Geography: True or false:  Michigan's Great Lakes are the largest group of freshwater lakes in the world.|True
History: To date, who has been the only American president to win non-consecutive terms to the White House?|President Grover Cleveland
UnitedStates: In area, which city is larger, Los Angeles, California or Juneau, Alaska?|Juneau, Alaska
Science & Nature: How much of the world's population is left-handed, 5 percent, 10 percent, 15 percent or 20 percent?|10 percent
Science & Nature: How many times a day does an average adult person laugh, 10 times, 15 times, 20 times or 25 times?|15 times
